Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1496.6497
FDW14,OUT017,1331.7916
NCN55,OUT010,1060.6093
FDQ58,OUT017,2538.5525
FDY38,OUT027,5597.2407
FDH56,OUT046,1899.4233
FDL48,OUT018,643.2915
FDC48,OUT027,2293.1094
FDN33,OUT045,1314.6345
FDA36,OUT017,3250.7546
FDT44,OUT017,2027.7483
FDQ56,OUT045,1317.2327
NCC54,OUT019,-161.33163
FDU11,OUT049,2233.318
DRL59,OUT013,776.4596
FDM24,OUT049,2436.6375
FDI57,OUT045,3765.684
DRC12,OUT018,2407.4258
NCM42,OUT027,2745.4082
FDA46,OUT010,547.7085
FDA31,OUT013,2789.8455
NCJ31,OUT035,3741.292
FDG52,OUT046,775.8535
NCL19,OUT019,582.3965
FDS10,OUT035,3030.7126
FDX22,OUT010,517.4583
NCF19,OUT035,865.9955
NCE06,OUT046,2222.672
DRC27,OUT046,3783.377
FDE21,OUT035,1989.5653
NCR42,OUT019,7.4919043
FDX51,OUT018,2865.171
NCR06,OUT018,389.81192
FDU31,OUT027,6034.271
FDU59,OUT017,2512.2368
FDR03,OUT027,6034.271
FDS49,OUT027,2214.3518
FDD48,OUT010,295.92926
NCF18,OUT017,3472.3975
NCD43,OUT027,2745.4082
NCD54,OUT018,1718.9033
FDY19,OUT010,201.06958
NCY54,OUT017,2856.3574
NCL19,OUT018,2126.8115
FDP23,OUT010,448.34888
FDC26,OUT013,1781.5691
FDR14,OUT010,141.25545
NCS41,OUT035,3337.0942
FDF41,OUT035,2872.5093
FDU34,OUT046,2091.2083
DRH11,OUT046,878.54974
FDM03,OUT013,1717.8853
FDS31,OUT017,2977.2734
FDJ20,OUT017,2261.0857
FDV44,OUT027,4978.9043
FDG02,OUT049,2405.1052
FDA09,OUT013,2475.5496
FDT04,OUT013,671.1217
FDL58,OUT019,-286.23853
FDE52,OUT045,1375.8348
FDW12,OUT035,2593.778
FDL51,OUT017,3441.352
NCY42,OUT027,3754.0059
FDR07,OUT017,1435.633
FDN40,OUT045,2364.297
FDB35,OUT027,2457.9492
FDA22,OUT017,2606.475
NCL06,OUT046,3949.0342
FDI35,OUT013,2939.4158
NCW42,OUT045,3436.3325
NCX06,OUT049,3004.565
FDC37,OUT027,2745.4082
FDZ14,OUT018,1776.2325
DRG49,OUT049,3781.801
NCG06,OUT045,2945.729
DRC36,OUT045,2815.7102
FDV21,OUT019,189.56253
FDB53,OUT046,2474.982
DRP47,OUT019,-161.33163
